Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,1212.21,101.25,1.35,4.5,234.36,86.49,725.13,6.48,52.65
Mangrove,1609.38,0.36,543.33,36.81,15.39,8.37,955.35,49.5,0.27
Water,461.16,0,37.26,318.6,2.16,28.71,55.17,19.26,0
Grassland,13363.38,1357.56,11.16,65.7,4655.88,875.43,5603.13,25.83,768.69
Exposed soil / Urban,7551,468.9,7.65,108.9,1886.67,652.77,3947.94,26.55,451.62
Forest,87930.18,732.33,172.62,55.35,1589.22,443.07,84288.6,390.33,258.66
Wetland,822.6,1.98,10.62,4.68,9.18,8.37,217.71,568.17,1.89
Teak / Melina,43.29,17.82,0,0.18,6.12,1.08,17.1,0,0.99
