Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,108.9,2.43,0.54,0,8.28,0.18,95.49,1.71,0.27
Mangrove,276.84,0.18,132.12,1.17,1.98,0.27,139.95,1.17,0
Water,107.46,0,11.97,66.24,0.09,0.36,28.53,0.27,0
Grassland,952.38,97.65,5.31,0.09,296.82,1.35,540.72,9.18,1.26
Exposed soil / Urban,297.27,8.55,7.02,0.09,55.26,16.83,204.03,5.4,0.09
Forest,12258.9,14.76,90.9,0.54,77.4,10.62,12036.24,25.47,2.97
Wetland,11.52,0.27,0,0,0,0,10.71,0.54,0
Teak / Melina,3.51,0,0.09,0,0.54,0,2.79,0.09,0
