Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,12.51,0,0,0,0.72,0,9.54,2.25,0
Mangrove,10.35,0,0,0,0,0,10.35,0,0
Water,0,0,0,0,0,0,0,0,0
Grassland,132.57,0,0,0,47.97,3.15,74.34,7.11,0
Exposed soil / Urban,0.27,0,0,0,0,0,0.27,0,0
Forest,2059.2,0,0.81,0,13.05,2.7,2029.41,13.23,0
Wetland,18.09,0,0,0,0.18,0,12.33,5.58,0
Teak / Melina,0.99,0,0,0,0,0,0.9,0.09,0
