Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,108.9,1.8,0,0,1.53,1.53,103.23,0.81,0
Mangrove,276.84,0,114.75,3.87,0.18,0.27,157.41,0.36,0
Water,107.46,0,7.29,61.11,0.36,0.18,38.25,0.27,0
Grassland,952.29,42.57,0,0.54,43.02,24.93,751.41,89.82,0
Exposed soil / Urban,297.27,7.38,0.81,0.45,8.91,20.97,252.99,5.76,0
Forest,12259.08,21.24,9.27,1.17,18.72,23.22,12164.04,21.42,0
Wetland,11.52,0,0,0,0,0,11.52,0,0
Teak / Melina,3.51,0.27,0,0,0.54,0.09,2.61,0,0
