Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,43.11,0.63,0,0.09,3.87,2.16,33.48,2.52,0.36
Mangrove,543.33,0.09,123.66,0.09,0.18,0.09,418.5,0.72,0
Water,146.16,0,7.74,117.9,0.45,3.15,16.29,0.63,0
Grassland,168.84,2.52,3.87,2.97,5.31,4.77,139.59,3.51,6.3
Exposed soil / Urban,482.94,1.98,11.25,9.09,13.95,31.41,405.99,8.64,0.63
Forest,40357.26,53.37,195.75,1.35,33.93,35.28,39541.5,393.12,102.96
Wetland,673.47,0,13.68,0,1.08,3.6,95.04,560.07,0
Teak / Melina,0.63,0,0,0,0,0.09,0.54,0,0
