Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,32.4,0,0,0.9,2.88,4.41,23.76,0.45,0
Mangrove,8352.27,0,6799.68,284.58,2.25,23.67,388.35,853.74,0
Water,772.74,0,85.05,572.49,4.23,53.37,40.95,16.65,0
Grassland,255.06,10.8,1.89,24.93,57.51,36,87.12,36.81,0
Exposed soil / Urban,151.29,0,0,49.68,2.97,61.65,30.33,6.66,0
Forest,1373.49,0,257.85,32.04,2.88,8.82,975.87,96.03,0
Wetland,1698.39,0,85.59,19.08,41.22,38.88,219.06,1294.56,0
Teak / Melina,0.09,0,0,0,0,0,0.09,0,0
