Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,966.78,60.12,0,0,190.89,35.19,633.6,27.9,19.08
Mangrove,322.47,0.18,5.04,0.54,2.25,1.17,309.33,3.78,0.18
Water,113.22,0,0.36,104.04,0.45,0,1.71,6.66,0
Grassland,4285.8,238.86,0.63,0.36,1341.09,272.34,2341.44,74.52,16.56
Exposed soil / Urban,58.41,3.87,0,0.09,18.81,13.77,20.61,0.18,1.08
Forest,51000.57,200.52,44.82,5.4,874.44,174.96,49287.42,172.71,240.3
Wetland,695.97,6.66,0.54,1.71,25.38,15.03,481.59,150.84,14.22
Teak / Melina,414.27,2.61,0,0,25.65,1.44,340.38,0.36,43.83
