Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,84,1,0,0,14,3,65,1,0
Mangrove,34,0,0,0,0,0,34,0,0
Water,0,0,0,0,0,0,0,0,0
Grassland,430,1,0,0,110,11,270,38,0
Exposed soil / Urban,241,2,0,0,47,8,177,7,0
Forest,4393,20,0,0,40,10,4105,218,0
Wetland,42,0,0,0,0,0,7,35,0
Teak / Melina,1,0,0,0,0,0,0,1,0
