Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,43.11,0,0.09,0.36,1.53,1.26,38.34,1.53,0
Mangrove,543.24,0,101.88,1.98,0.18,0.09,435.33,3.78,0
Water,146.16,0,5.85,115.38,0.27,9.9,12.33,2.43,0
Grassland,168.84,0,0.27,2.16,1.53,7.56,155.79,1.53,0
Exposed soil / Urban,482.94,0,1.26,23.85,4.77,24.03,425.25,3.78,0
Forest,40361.76,0,44.1,7.83,12.96,18.09,40040.01,238.77,0
Wetland,673.47,0,4.5,0.36,0.36,0.63,127.35,540.27,0
Teak / Melina,0.63,0,0,0,0,0.09,0.54,0,0
