Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,84,5,0,0,18,0,55,0,6
Mangrove,34,0,4,0,2,0,28,0,0
Water,0,0,0,0,0,0,0,0,0
Grassland,429,21,1,0,229,0,164,10,4
Exposed soil / Urban,239,9,0,0,90,0,135,5,0
Forest,4389,31,22,0,48,0,4106,164,18
Wetland,43,0,0,0,0,0,8,35,0
Teak / Melina,1,0,0,0,0,0,1,0,0
