Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,652.32,48.42,0.09,0,141.93,0.63,424.8,13.41,23.04
Mangrove,1239.75,0.45,17.1,2.25,14.85,0,539.55,12.87,0.36
Water,697.5,0,1.53,101.52,0.27,0,2.07,4.59,0.09
Grassland,4309.56,285.48,3.87,0.09,1432.26,33.75,2311.38,47.43,85.23
Exposed soil / Urban,7853.94,162.36,9.99,0,1296,10.35,2092.23,54.27,29.25
Forest,76042.44,468.09,289.8,8.64,1386.36,13.68,45564.12,526.95,275.85
Wetland,24789.78,1.8,0.09,0.63,13.41,0,58.05,36.45,0.36
Teak / Melina,119.16,0.18,0,0,0.72,0,7.38,0,0.09
