Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,76.68,1.89,8.37,8.37,22.68,3.15,10.35,21.87,0
Mangrove,7796.07,0.18,7308.99,52.11,6.3,1.26,257.31,169.92,0
Water,789.57,0.09,236.7,487.62,4.23,22.77,27.45,10.71,0
Grassland,270,23.58,21.78,11.61,132.93,18,11.61,50.49,0
Exposed soil / Urban,203.22,4.41,15.93,28.53,41.94,57.24,40.86,14.22,0.09
Forest,1232.82,0.09,209.25,36.54,6.12,13.86,906.12,60.84,0
Wetland,2250.27,2.07,549.54,138.06,38.61,32.67,119.88,1369.44,0
Teak / Melina,0.36,0.09,0,0,0.09,0,0.09,0.09,0
