Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,652.32,32.49,0.09,0,106.11,20.52,454.23,0.9,37.98
Mangrove,587.43,0.81,1.35,2.7,10.53,3.51,559.62,8.73,0.18
Water,110.07,0,0.63,99.27,0,0.27,4.59,5.31,0
Grassland,4199.49,141.75,2.34,0,873.54,138.24,2876.85,63.18,103.59
Exposed soil / Urban,3654.45,83.07,2.52,0.09,488.25,175.05,2856.33,10.62,38.52
Forest,48533.49,253.98,44.37,9.27,993.6,174.6,46598.31,306.27,153.09
Wetland,110.79,0.72,0.09,0.72,6.12,1.08,58.23,41.94,1.89
Teak / Melina,8.37,0,0,0,0.81,0.63,6.93,0,0
