Land Use,Area (starting year),Palm,Mangrove,Water,Grassland,Exposed soil / Urban,Primary Forest,Wetland,Teak / Melina
Palm,58.59,0,0,0,0.27,0.09,58.23,0,0
Mangrove,356.85,0,102.15,5.85,0.27,3.78,236.7,8.1,0
Water,133.11,0,1.26,118.71,0.45,10.71,1.44,0.54,0
Grassland,58.77,0,0,0.99,4.59,5.04,47.79,0.36,0
Exposed soil / Urban,80.55,0,0.09,17.46,1.89,16.56,43.38,1.17,0
Forest,40651.65,0,54.45,10.35,13.14,23.58,40444.29,105.84,0
Wetland,969.21,0,0,0.45,0.99,1.89,289.8,676.08,0
Teak / Melina,110.25,0,0,0,0,0,110.25,0,0
